,Case_Number,Case_NumberAlt,Reported_Date,Occurred_Date,NIBRS_Crime_Against,Offense_Category,Offense,Problem_Initial,Problem_Final,Address,Precinct,Neighborhood,Latitude,Longitude,Date_Occurred,Time_Occurred,Date_Reported,Time_Reported
102385,19-192646,MP2019192646,2019-07-02 20:54:00+00:00,2019-07-02 19:25:00+00:00,Person ,Assault Offenses ,Aggravated Assault ,Sound of Shots Fired (P),Sound of Shots Fired (P),0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2019-07-02,19:25:00,2019-07-02,20:54:00
102536,22-710722,MP2022710722,2022-09-17 08:23:00+00:00,2022-09-15 23:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,,,0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2022-09-15,23:00:00,2022-09-17,08:23:00
102613,19-226752,MP2019226752,2019-07-31 21:58:00+00:00,2019-07-31 19:45:00+00:00,Property ,Counterfeiting/Forgery ,Counterfeiting/Forgery ,Forgery in Progress (P),Forgery in Progress (P),0037XX CEDAR AVE S,3.0,Standish,44.93502,-93.24734,2019-07-31,19:45:00,2019-07-31,21:58:00
102637,19-094643,MP201994643,2019-04-04 13:31:00+00:00,2019-04-03 21:00:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft (P),Auto Theft (P),0037XX 29TH AVE S,3.0,Standish,44.93501,-93.23085,2019-04-03,21:00:00,2019-04-04,13:31:00
102724,22-709992,MP2022709992,2022-08-31 13:13:00+00:00,2022-06-04 00:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0039XX 24TH AVE S,3.0,Standish,44.93141,-93.23719,2022-06-04,00:00:00,2022-08-31,13:13:00
102798,21-701531,MP2021701531,2021-03-04 12:53:00+00:00,2021-03-03 12:00:00+00:00,Property ,Fraud Offenses ,Identity Theft ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2021-03-03,12:00:00,2021-03-04,12:53:00
102987,19-136005,MP2019136005,2019-05-14 11:19:00+00:00,2019-04-25 20:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0038XX LONGFELLOW AVE,3.0,Standish,44.93321,-93.24607,2019-04-25,20:00:00,2019-05-14,11:19:00
103026,19-358315,MP2019358315,2019-12-04 12:26:00+00:00,2019-12-03 17:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,Theft - Report Only (P),Theft - Report Only (P),0040XX 25TH AVE S,3.0,Standish,44.9296,-93.23593,2019-12-03,17:00:00,2019-12-04,12:26:00
103045,21-701607,MP2021701607,2021-03-08 16:15:00+00:00,2021-03-06 13:55:00+00:00,Property ,Fraud Offenses ,False Pretenses/Swindle/Confidence Game ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2021-03-06,13:55:00,2021-03-08,16:15:00
103259,19-239974,MP2019239974,2019-08-11 21:43:00+00:00,2019-08-11 19:30:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0042XX 22ND AVE S,3.0,Standish,44.92601,-93.24099,2019-08-11,19:30:00,2019-08-11,21:43:00
103394,21-102666,MP2021102666,2021-05-15 04:00:00+00:00,2021-05-15 03:37:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Audible Residential Alarm (P),Burglary Biz - In Progress (P),0037XX CEDAR AVE S,3.0,Standish,44.93502,-93.24734,2021-05-15,03:37:00,2021-05-15,04:00:00
103598,20-295343,MP2020295343,2020-11-23 09:00:00+00:00,2020-11-23 06:45:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0040XX 27TH AVE S,3.0,Standish,44.9296,-93.23339,2020-11-23,06:45:00,2020-11-23,09:00:00
103726,20-023007,MP202023007,2020-01-26 22:15:00+00:00,2020-01-26 18:22:00+00:00,Person ,Assault Offenses ,Simple Assault ,Unknown Trouble (P),Unknown Trouble (P),0037XX 19TH AVE S,3.0,Standish,44.93502,-93.2448,2020-01-26,18:22:00,2020-01-26,22:15:00
104027,22-256645,MP2022256645,2022-10-27 19:45:00+00:00,2022-10-27 18:45:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,Auto Theft in Progress (P)~PD,Theft - Report Only (P),0039XX 22ND AVE S,3.0,Standish,44.93141,-93.24099,2022-10-27,18:45:00,2022-10-27,19:45:00
104048,19-147824,MP2019147824,2019-05-25 09:01:00+00:00,2019-05-25 01:00:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,Damage Property-Rpt Only (P),Damage Property-Rpt Only (P),0018XX 36TH ST E,3.0,Standish,44.93773,-93.24671,2019-05-25,01:00:00,2019-05-25,09:01:00
104111,21-074069,MP202174069,2021-04-09 18:03:00+00:00,2021-04-09 15:50:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft in Progress (P),Auto Theft (P),0037XX 20TH AVE S,3.0,Standish,44.93501,-93.24354,2021-04-09,15:50:00,2021-04-09,18:03:00
104584,22-178948,MP2022178948,2022-08-03 19:19:00+00:00,2022-08-01 12:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0021XX 43RD ST E,3.0,Standish,44.92511,-93.24162,2022-08-01,12:00:00,2022-08-03,19:19:00
104597,21-064269,MP202164269,2021-03-29 08:25:00+00:00,2021-03-29 00:30:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft in Progress (P)~PD,Auto Theft (P),0041XX 21ST AVE S,3.0,Standish,44.92781,-93.24226,2021-03-29,00:30:00,2021-03-29,08:25:00
104718,20-707334,MP2020707334,2020-10-26 19:04:00+00:00,2020-10-25 19:00:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0035XX 24TH AVE S,3.0,Standish,44.93863,-93.2372,2020-10-25,19:00:00,2020-10-26,19:04:00
