,Case_Number,Case_NumberAlt,Reported_Date,Occurred_Date,NIBRS_Crime_Against,Offense_Category,Offense,Problem_Initial,Problem_Final,Address,Precinct,Neighborhood,Latitude,Longitude,Date_Occurred,Time_Occurred,Date_Reported,Time_Reported
4,20-703897,MP2020703897,2020-07-12 11:24:00+00:00,2020-07-12 09:30:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0032XX 37TH ST E,3.0,Standish,44.93595,-93.22609,2020-07-12,09:30:00,2020-07-12,11:24:00
42,21-101731,MP2021101731,2021-05-14 10:37:00+00:00,2021-05-14 00:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,Disturbance (P),Theft - Report Only (P),0039XX 24TH AVE S,3.0,Standish,44.93141,-93.23719,2021-05-14,00:00:00,2021-05-14,10:37:00
350,19-223202,MP2019223202,2019-07-28 20:47:00+00:00,2019-07-28 16:47:00+00:00,Person ,Sex Offenses ,Sex Offenses,Crim Sex Conduct/Report (P),Crim Sex Conduct/Report (P),0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2019-07-28,16:47:00,2019-07-28,20:47:00
412,20-289454,MP2020289454,2020-11-14 23:58:00+00:00,2020-11-14 23:00:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft (P),Auto Theft (P),0037XX 29TH AVE S,3.0,Standish,44.93501,-93.23085,2020-11-14,23:00:00,2020-11-14,23:58:00
532,21-708610,MP2021708610,2021-10-23 17:18:00+00:00,2021-10-23 03:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,,,0041XX STANDISH AVE,3.0,Standish,44.92781,-93.23973,2021-10-23,03:00:00,2021-10-23,17:18:00
554,21-251004,MP2021251004,2021-10-31 10:35:00+00:00,2021-10-31 00:00:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft (P),Auto Theft (P),0041XX 24TH AVE S,3.0,Standish,44.9278,-93.2372,2021-10-31,00:00:00,2021-10-31,10:35:00
659,20-706110,MP2020706110,2020-09-16 13:42:00+00:00,2020-09-16 00:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,,,0039XX 24TH AVE S,3.0,Standish,44.93141,-93.23719,2020-09-16,00:00:00,2020-09-16,13:42:00
832,19-024992,MP201924992,2019-01-26 10:14:00+00:00,2019-01-26 08:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0037XX 29TH AVE S,3.0,Standish,44.93501,-93.23085,2019-01-26,08:00:00,2019-01-26,10:14:00
846,20-706071,MP2020706071,2020-09-15 14:59:00+00:00,2020-09-15 00:45:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,,,0040XX 19TH AVE S,3.0,Standish,44.92962,-93.2448,2020-09-15,00:45:00,2020-09-15,14:59:00
960,22-049398,MP202249398,2022-03-09 11:28:00+00:00,2022-01-03 12:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,Theft - Report Only (P),Theft - Report Only (P),0036XX CEDAR AVE S,3.0,Standish,44.93682,-93.24735,2022-01-03,12:00:00,2022-03-09,11:28:00
1017,20-222407,MP2020222407,2020-08-26 20:25:00+00:00,2020-08-26 19:30:00+00:00,Property ,Robbery ,Robbery ,Robbery of Biz In Progress (P),Robbery of Biz In Progress (P),0042XX 28TH AVE S,3.0,Standish,44.92599,-93.23213,2020-08-26,19:30:00,2020-08-26,20:25:00
1272,22-026718,MP202226718,2022-02-07 14:00:00+00:00,2022-02-07 14:00:00+00:00,Property ,Counterfeiting/Forgery ,Counterfeiting/Forgery ,Forgery Report (P),Forgery Report (P),0039XX 29TH AVE S,3.0,Standish,44.93141,-93.23084,2022-02-07,14:00:00,2022-02-07,14:00:00
1319,20-700801,MP2020700801,2020-02-11 11:23:00+00:00,2020-02-08 17:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,,,0040XX 19TH AVE S,3.0,Standish,44.92962,-93.2448,2020-02-08,17:00:00,2020-02-11,11:23:00
1507,19-069853,MP201969853,2019-03-11 19:15:00+00:00,2019-03-11 09:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0036XX 25TH AVE S,3.0,Standish,44.93682,-93.23592,2019-03-11,09:00:00,2019-03-11,19:15:00
1624,19-702347,MP2019702347,2019-05-07 14:19:00+00:00,2019-05-03 17:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0035XX 24TH AVE S,3.0,Standish,44.93863,-93.2372,2019-05-03,17:00:00,2019-05-07,14:19:00
2126,20-033383,MP202033383,2020-02-06 20:12:00+00:00,2020-02-06 15:23:00+00:00,Society ,Drug/Narcotic Offenses ,Drug Equipment Violations ,Narcotics (Drug) Activity (P),Narcotics (Drug) Activity (P),0037XX 23RD AVE S,3.0,Standish,44.93501,-93.23889,2020-02-06,15:23:00,2020-02-06,20:12:00
2414,21-101653,MP2021101653,2021-05-14 05:09:00+00:00,2021-05-13 22:20:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Assist Other Agency (P),Auto Theft (P),0041XX 27TH AVE S,3.0,Standish,44.92779,-93.23339,2021-05-13,22:20:00,2021-05-14,05:09:00
2642,20-268308,MP2020268308,2020-10-19 15:32:00+00:00,2020-10-16 16:30:00+00:00,Person ,Assault Offenses ,Simple Assault ,On Site (P),Assault Report Only (P),0032XX 37TH ST E,3.0,Standish,44.93595,-93.22609,2020-10-16,16:30:00,2020-10-19,15:32:00
2723,22-190510,MP2022190510,2022-08-16 10:00:00+00:00,2021-01-01 10:00:00+00:00,Property ,Embezzlement ,Embezzlement ,Forgery Report (P),Forgery Report (P),0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2021-01-01,10:00:00,2022-08-16,10:00:00
2729,19-166504,MP2019166504,2019-06-10 10:47:00+00:00,2019-06-10 09:45:00+00:00,Person ,Assault Offenses ,Aggravated Assault ,Stabbing Report Only (P),Stabbing Report Only (P),0039XX CEDAR AVE S,3.0,Standish,44.9314,-93.24733,2019-06-10,09:45:00,2019-06-10,10:47:00
3265,21-085757,MP202185757,2021-04-25 00:01:00+00:00,2021-04-24 23:10:00+00:00,Person ,Assault Offenses ,Simple Assault ,Domestic Abuse-In Progress (P),Domestic Abuse-In Progress (P),0032XX 37TH ST E,3.0,Standish,44.93595,-93.22609,2021-04-24,23:10:00,2021-04-25,00:01:00
3400,19-040327,MP201940327,2019-02-11 10:30:00+00:00,2019-02-07 15:15:00+00:00,Person ,Assault Offenses ,Simple Assault ,Fight (P),Fight (P),0040XX 28TH AVE S,3.0,Standish,44.9296,-93.23211,2019-02-07,15:15:00,2019-02-11,10:30:00
3429,20-110944,MP2020110944,2020-04-27 18:02:00+00:00,2020-04-26 19:30:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Theft - Report Only (P),Theft - Report Only (P),0038XX 29TH AVE S,3.0,Standish,44.93321,-93.23084,2020-04-26,19:30:00,2020-04-27,18:02:00
3522,20-065405,MP202065405,2020-03-11 11:35:00+00:00,2020-03-06 12:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0037XX 26TH AVE S,3.0,Standish,44.93501,-93.23465,2020-03-06,12:00:00,2020-03-11,11:35:00
3887,19-290502,MP2019290502,2019-09-24 15:04:00+00:00,2019-09-24 00:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0039XX 28TH AVE S,3.0,Standish,44.9314,-93.23211,2019-09-24,00:00:00,2019-09-24,15:04:00
3962,22-209269,MP2022209269,2022-09-06 16:18:00+00:00,2022-09-06 13:11:00+00:00,Society ,Drug/Narcotic Offenses ,Drug/Narcotic Violations ,Audible Business Alarm (P),Audible Business Alarm (P),0038XX 26TH AVE S,3.0,Standish,44.93321,-93.23465,2022-09-06,13:11:00,2022-09-06,16:18:00
4046,19-701050,MP2019701050,2019-03-01 12:26:00+00:00,2018-09-29 12:15:00+00:00,Property ,Fraud Offenses ,Identity Theft ,,,0041XX STANDISH AVE,3.0,Standish,44.92781,-93.23973,2018-09-29,12:15:00,2019-03-01,12:26:00
4284,19-356631,MP2019356631,2019-12-02 12:59:00+00:00,2019-12-02 12:16:00+00:00,Property ,Counterfeiting/Forgery ,Counterfeiting/Forgery ,Forgery Report (P),Forgery Report (P),0023XX 38TH ST E,3.0,Standish,44.93411,-93.23782,2019-12-02,12:16:00,2019-12-02,12:59:00
4384,20-204486,MP2020204486,2020-08-06 11:54:00+00:00,2020-08-06 09:54:00+00:00,Property ,Stolen Property Offenses ,Stolen Property Offenses ,Suspicious Vehicle (P),Recover Vehicle (P),0036XX 24TH AVE S,3.0,Standish,44.93727,-93.2372,2020-08-06,09:54:00,2020-08-06,11:54:00
4518,20-263559,MP2020263559,2020-10-13 11:15:00+00:00,2020-10-12 22:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Theft - Report Only (P),Theft - Report Only (P),0039XX 29TH AVE S,3.0,Standish,44.93141,-93.23084,2020-10-12,22:00:00,2020-10-13,11:15:00
4589,20-045873,MP202045873,2020-02-20 11:55:00+00:00,2020-02-20 08:50:00+00:00,Property ,Stolen Property Offenses ,Stolen Property Offenses ,Auto Theft in Progress (P),Auto Theft in Progress (P),0040XX 23RD AVE S,3.0,Standish,44.92961,-93.23846,2020-02-20,08:50:00,2020-02-20,11:55:00
4732,22-134382,MP2022134382,2022-06-17 14:25:00+00:00,2022-06-17 13:55:00+00:00,Property ,Robbery ,Robbery ,Robbery Dwlng/Person Rpt (P),Robbery Dwlng/Person Rpt (P),22ND AVE S / 39TH ST E,3.0,Standish,44.93232,-93.241,2022-06-17,13:55:00,2022-06-17,14:25:00
4791,21-198828,MP2021198828,2021-09-01 18:55:00+00:00,2021-09-01 18:00:00+00:00,Person ,Assault Offenses ,Intimidation ,Domestic Abuse-In Progress (P),Domestic Abuse-In Progress (P),0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2021-09-01,18:00:00,2021-09-01,18:55:00
4879,20-244134,MP2020244134,2020-09-21 07:45:00+00:00,2020-09-20 21:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Theft - Report Only (P)~PD,Burglary Business - Report (P),0037XX 23RD AVE S,3.0,Standish,44.93501,-93.23889,2020-09-20,21:00:00,2020-09-21,07:45:00
5074,20-125159,MP2020125159,2020-05-11 15:15:00+00:00,2020-05-10 01:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,Theft - Report Only (P),Theft - Report Only (P),0022XX 43RD ST E,3.0,Standish,44.9251,-93.23909,2020-05-10,01:00:00,2020-05-11,15:15:00
5145,19-708271,MP2019708271,2019-12-26 23:36:00+00:00,2019-12-26 02:25:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2019-12-26,02:25:00,2019-12-26,23:36:00
5236,21-258255,MP2021258255,2021-11-08 20:42:00+00:00,2021-11-08 20:42:00+00:00,Property ,Robbery ,Robbery ,Robbery of Person (P),Robbery of Person (P),0038XX 22ND AVE S,3.0,Standish,44.93321,-93.24099,2021-11-08,20:42:00,2021-11-08,20:42:00
5272,21-106462,MP2021106462,2021-05-19 11:15:00+00:00,2021-05-19 11:00:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft (P),Auto Theft (P),0036XX 27TH AVE S,3.0,Standish,44.93682,-93.23339,2021-05-19,11:00:00,2021-05-19,11:15:00
5351,19-273113,MP2019273113,2019-09-09 17:21:00+00:00,2019-08-26 13:00:00+00:00,Person ,Sex Offenses ,Sex Offenses,Crim Sex Conduct/Report (P),Crim Sex Conduct/Report (P),0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2019-08-26,13:00:00,2019-09-09,17:21:00
5398,20-701927,MP2020701927,2020-04-12 11:26:00+00:00,2020-04-12 04:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2020-04-12,04:00:00,2020-04-12,11:26:00
5453,22-237216,MP2022237216,2022-10-05 18:52:00+00:00,2022-10-05 18:52:00+00:00,Property ,Larceny/Theft Offenses ,Shoplifting ,Suspicious Vehicle (P),Suspicious Vehicle (P),0024XX 38TH ST E,3.0,Standish,44.93411,-93.23655,2022-10-05,18:52:00,2022-10-05,18:52:00
5550,20-000879,MP2020879,2020-01-01 22:11:00+00:00,2020-01-01 21:30:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,Theft (P),Theft (P),0039XX 29TH AVE S,3.0,Standish,44.93141,-93.23084,2020-01-01,21:30:00,2020-01-01,22:11:00
5619,19-275119,MP2019275119,2019-09-11 13:07:00+00:00,2019-09-11 12:05:00+00:00,Person ,Assault Offenses ,Simple Assault ,Assault in Progress (P),Assault in Progress (P),0040XX NOKOMIS AVE S,3.0,Standish,44.9296,-93.22831,2019-09-11,12:05:00,2019-09-11,13:07:00
5742,22-038372,MP202238372,2022-02-23 02:13:00+00:00,2022-02-22 23:38:00+00:00,Person ,Assault Offenses ,Aggravated Assault ,Assault in Progress (P),Assault in Progress (P),0040XX 19TH AVE S,3.0,Standish,44.92962,-93.2448,2022-02-22,23:38:00,2022-02-23,02:13:00
5879,22-712556,MP2022712556,2022-10-29 14:18:00+00:00,2022-10-29 01:10:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,,,0039XX 24TH AVE S,3.0,Standish,44.93141,-93.23719,2022-10-29,01:10:00,2022-10-29,14:18:00
5896,19-704464,MP2019704464,2019-07-26 20:53:00+00:00,2019-07-26 20:45:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2019-07-26,20:45:00,2019-07-26,20:53:00
6118,19-134313,MP2019134313,2019-05-12 18:15:00+00:00,2019-05-05 12:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0038XX STANDISH AVE,3.0,Standish,44.93321,-93.23972,2019-05-05,12:00:00,2019-05-12,18:15:00
6172,22-093486,MP202293486,2022-05-03 21:52:00+00:00,2021-12-15 00:00:00+00:00,Person ,Assault Offenses ,Intimidation ,Crim Sex Conduct/Report (P),Crim Sex Conduct/Report (P),0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2021-12-15,00:00:00,2022-05-03,21:52:00
6187,20-024601,MP202024601,2020-01-28 18:50:00+00:00,2020-01-28 15:20:00+00:00,Person ,Assault Offenses ,Aggravated Assault ,Stabbing Report Only (P),Stabbing Report Only (P),0037XX 23RD AVE S,3.0,Standish,44.93501,-93.23889,2020-01-28,15:20:00,2020-01-28,18:50:00
6340,21-709892,MP2021709892,2021-12-01 09:10:00+00:00,2021-12-01 00:00:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,,,0041XX 26TH AVE S,3.0,Standish,44.9278,-93.23466,2021-12-01,00:00:00,2021-12-01,09:10:00
6418,21-705878,MP2021705878,2021-08-05 11:20:00+00:00,2021-08-05 00:02:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0035XX 24TH AVE S,3.0,Standish,44.93863,-93.2372,2021-08-05,00:02:00,2021-08-05,11:20:00
6442,20-246038,MP2020246038,2020-09-23 08:12:00+00:00,2020-09-23 06:25:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft in Progress (P),Auto Theft in Progress (P),0038XX 22ND AVE S,3.0,Standish,44.93321,-93.24099,2020-09-23,06:25:00,2020-09-23,08:12:00
6699,22-127448,MP2022127448,2022-06-10 05:16:00+00:00,2022-06-10 04:30:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng In Progress (P),Burglary Dwlng In Progress (P),0041XX 24TH AVE S,3.0,Standish,44.9278,-93.2372,2022-06-10,04:30:00,2022-06-10,05:16:00
6965,22-115327,MP2022115327,2022-05-28 13:05:00+00:00,2022-05-28 00:01:00+00:00,Person ,Sex Offenses ,Sex Offenses,Crim Sex Conduct/Report (P),Crim Sex Conduct/Report (P),0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2022-05-28,00:01:00,2022-05-28,13:05:00
7246,22-700500,MP2022700500,2022-01-16 18:23:00+00:00,2022-01-15 23:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,,,0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2022-01-15,23:00:00,2022-01-16,18:23:00
7525,21-117666,MP2021117666,2021-05-31 22:27:00+00:00,2021-05-31 22:20:00+00:00,Person ,Assault Offenses ,Aggravated Assault ,Sound of Shots Fired (P),Sound of Shots Fired (P),0042XX 21ST AVE S,3.0,Standish,44.92601,-93.24226,2021-05-31,22:20:00,2021-05-31,22:27:00
7731,22-042001,MP202242001,2022-02-28 00:44:00+00:00,2022-02-27 22:15:00+00:00,Property ,Stolen Property Offenses ,Stolen Property Offenses ,Suspicious Vehicle (P),Suspicious Vehicle (P),0036XX 20TH AVE S,3.0,Standish,44.93682,-93.24355,2022-02-27,22:15:00,2022-02-28,00:44:00
7803,20-701588,MP2020701588,2020-03-25 10:02:00+00:00,2020-03-25 00:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0041XX STANDISH AVE,3.0,Standish,44.92781,-93.23973,2020-03-25,00:00:00,2020-03-25,10:02:00
8009,22-053557,MP202253557,2022-03-15 07:55:00+00:00,2022-03-15 00:01:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft (P),Auto Theft (P),0039XX 30TH AVE S,3.0,Standish,44.9314,-93.22958,2022-03-15,00:01:00,2022-03-15,07:55:00
8206,19-311101,MP2019311101,2019-10-14 14:51:00+00:00,2019-10-14 14:35:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft in Progress (P),Auto Theft in Progress (P),0038XX 30TH AVE S,3.0,Standish,44.93312,-93.22957,2019-10-14,14:35:00,2019-10-14,14:51:00
8358,21-209189,MP2021209189,2021-09-13 09:42:00+00:00,2021-09-12 02:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0022XX 40TH ST E,3.0,Standish,44.93051,-93.24036,2021-09-12,02:00:00,2021-09-13,09:42:00
8363,21-701117,MP2021701117,2021-02-15 17:56:00+00:00,2021-02-14 22:40:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0040XX NOKOMIS AVE S,3.0,Standish,44.9296,-93.22831,2021-02-14,22:40:00,2021-02-15,17:56:00
8434,21-700675,MP2021700675,2021-01-28 22:15:00+00:00,2021-01-27 15:00:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2021-01-27,15:00:00,2021-01-28,22:15:00
8463,19-145397,MP2019145397,2019-05-23 01:59:00+00:00,2019-05-23 01:59:00+00:00,Property ,Arson ,Arson ,Fire - Report Only (P),Fire - Report Only (P),0039XX 24TH AVE S,3.0,Standish,44.93141,-93.23719,2019-05-23,01:59:00,2019-05-23,01:59:00
8466,22-704681,MP2022704681,2022-05-10 18:57:00+00:00,2022-05-10 17:30:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2022-05-10,17:30:00,2022-05-10,18:57:00
8758,21-269637,MP2021269637,2021-11-23 10:11:00+00:00,2021-11-23 10:11:00+00:00,Property ,Robbery ,Robbery ,Robbery of Person (P),Robbery of Person (P),0040XX 24TH AVE S,3.0,Standish,44.9296,-93.23719,2021-11-23,10:11:00,2021-11-23,10:11:00
8907,19-300319,MP2019300319,2019-10-03 18:12:00+00:00,2019-10-03 07:30:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,Theft - Report Only (P),Theft - Report Only (P),0040XX 28TH AVE S,3.0,Standish,44.9296,-93.23211,2019-10-03,07:30:00,2019-10-03,18:12:00
9108,21-705668,MP2021705668,2021-07-30 14:09:00+00:00,2021-07-27 00:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0041XX STANDISH AVE,3.0,Standish,44.92781,-93.23973,2021-07-27,00:00:00,2021-07-30,14:09:00
9256,20-081265,MP202081265,2020-03-27 23:00:00+00:00,2020-03-27 19:45:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft (P),Auto Theft (P),0031XX 40TH ST E,3.0,Standish,44.9305,-93.22713,2020-03-27,19:45:00,2020-03-27,23:00:00
9313,22-214812,MP2022214812,2022-09-12 05:14:00+00:00,2022-09-11 20:00:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft (P),Theft - Report Only (P),0028XX 37TH ST E,3.0,Standish,44.93592,-93.2315,2022-09-11,20:00:00,2022-09-12,05:14:00
9461,20-705358,MP2020705358,2020-08-24 17:12:00+00:00,2020-08-06 17:05:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0039XX 24TH AVE S,3.0,Standish,44.93141,-93.23719,2020-08-06,17:05:00,2020-08-24,17:12:00
9552,21-281462,MP2021281462,2021-12-08 18:01:00+00:00,2021-12-08 18:01:00+00:00,Property ,Counterfeiting/Forgery ,Counterfeiting/Forgery ,Forgery Report (P),Forgery Report (P),0041XX 27TH AVE S,3.0,Standish,44.92779,-93.23339,2021-12-08,18:01:00,2021-12-08,18:01:00
9563,22-252586,MP2022252586,2022-10-23 23:17:00+00:00,2022-10-23 09:00:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,Damage Property-Rpt Only (P),Damage Property-Rpt Only (P),0037XX 21ST AVE S,3.0,Standish,44.93501,-93.24226,2022-10-23,09:00:00,2022-10-23,23:17:00
9643,21-700618,MP2021700618,2021-01-27 11:34:00+00:00,2021-01-24 22:00:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,,,0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2021-01-24,22:00:00,2021-01-27,11:34:00
9742,21-005396,MP20215396,2021-01-08 17:00:00+00:00,2021-01-07 00:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,Theft - Report Only (P),Theft - Report Only (P),0042XX 19TH AVE S,3.0,Standish,44.92602,-93.24478,2021-01-07,00:00:00,2021-01-08,17:00:00
9865,20-243496,MP2020243496,2020-09-20 09:13:00+00:00,2020-09-19 00:00:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0038XX 22ND AVE S,3.0,Standish,44.93321,-93.24099,2020-09-19,00:00:00,2020-09-20,09:13:00
10166,22-161617,MP2022161617,2022-07-16 11:15:00+00:00,2022-07-16 10:00:00+00:00,Property ,Robbery ,Robbery ,Robbery of Person (P),Robbery of Person (P),0030XX 38TH ST E,3.0,Standish,44.93412,-93.22979,2022-07-16,10:00:00,2022-07-16,11:15:00
10176,21-003638,MP20213638,2021-01-06 04:02:00+00:00,2021-01-06 03:50:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,Theft (P),Theft (P),0039XX NOKOMIS AVE S,3.0,Standish,44.93139,-93.22831,2021-01-06,03:50:00,2021-01-06,04:02:00
10464,19-260734,MP2019260734,2019-08-28 15:37:00+00:00,2019-08-27 11:00:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,Miscellaneous (P),Miscellaneous (P),0037XX 23RD AVE S,3.0,Standish,44.93501,-93.23889,2019-08-27,11:00:00,2019-08-28,15:37:00
10507,19-304604,MP2019304604,2019-10-07 18:57:00+00:00,2019-10-07 03:30:00+00:00,Person ,Assault Offenses ,Aggravated Assault ,Assault Report Only (P),Assault Report Only (P),0040XX NOKOMIS AVE S,3.0,Standish,44.9296,-93.22831,2019-10-07,03:30:00,2019-10-07,18:57:00
10516,19-144361,MP2019144361,2019-05-22 09:19:00+00:00,2019-05-22 07:35:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng In Progress (P),Burglary Dwlng - Report (P),0040XX LONGFELLOW AVE,3.0,Standish,44.92962,-93.24606,2019-05-22,07:35:00,2019-05-22,09:19:00
10713,19-014016,MP201914016,2019-01-15 08:57:00+00:00,2019-01-14 23:30:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Business - Report (P),Burglary Business - Report (P),0041XX CEDAR AVE S,3.0,Standish,44.92781,-93.24732,2019-01-14,23:30:00,2019-01-15,08:57:00
10719,20-707820,MP2020707820,2020-11-10 21:34:00+00:00,2020-11-05 13:25:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0039XX 24TH AVE S,3.0,Standish,44.93141,-93.23719,2020-11-05,13:25:00,2020-11-10,21:34:00
10786,19-707226,MP2019707226,2019-11-07 02:30:00+00:00,2019-11-06 17:23:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2019-11-06,17:23:00,2019-11-07,02:30:00
10792,19-179296,MP2019179296,2019-06-21 16:17:00+00:00,2019-06-21 14:22:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,Theft (P),Theft (P),0039XX CEDAR AVE S,3.0,Standish,44.9314,-93.24733,2019-06-21,14:22:00,2019-06-21,16:17:00
10910,20-700276,MP2020700276,2020-01-14 15:15:00+00:00,2020-01-13 23:05:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,,,0041XX STANDISH AVE,3.0,Standish,44.92781,-93.23973,2020-01-13,23:05:00,2020-01-14,15:15:00
10946,20-227409,MP2020227409,2020-09-01 14:46:00+00:00,2020-09-01 13:00:00+00:00,Person ,Assault Offenses ,Intimidation ,Threats (P),Threats (P),0041XX 28TH AVE S,3.0,Standish,44.92779,-93.23212,2020-09-01,13:00:00,2020-09-01,14:46:00
11073,22-712624,MP2022712624,2022-10-31 11:48:00+00:00,2022-10-21 23:35:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,,,0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2022-10-21,23:35:00,2022-10-31,11:48:00
11197,19-143957,MP2019143957,2019-05-21 21:12:00+00:00,2019-05-21 19:39:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,Theft (P),Theft (P),0038XX 25TH AVE S,3.0,Standish,44.93321,-93.23592,2019-05-21,19:39:00,2019-05-21,21:12:00
11258,22-041630,MP202241630,2022-02-27 12:10:00+00:00,2022-02-27 12:10:00+00:00,Person ,Assault Offenses ,Simple Assault ,Disturbance (P),Assault Report Only (P),0037XX 23RD AVE S,3.0,Standish,44.93501,-93.23889,2022-02-27,12:10:00,2022-02-27,12:10:00
